,texture,consonance,rhythmic,familiarity,valence,excitement,liking,ornamentation,grooviness,tempo,pitch,timbre,sound_quality
texture,1.0,0.07542885069732322,0.22633216599207187,0.3371230368398857,0.06064422517491023,-0.059511256337622394,-0.21441073345651188,0.6746400305541319,-0.0030423086651195992,0.3741689248607541,-0.03710056309155702,0.17244544415953436,0.25254972424460553
consonance,0.07542885069732322,1.0,0.29888597056584226,0.6448994488760649,0.578662955059954,-0.29278398165759917,0.32524064884389897,0.05390198085977009,0.3094352671469013,0.045295352123500346,0.23948965330234848,0.44832576901547827,-0.0034190243607767614
rhythmic,0.22633216599207187,0.29888597056584226,1.0,0.2686059921859536,0.3969440515137079,-0.25390421235127436,0.20582146198919188,-0.020980630299763183,0.5086880571719442,0.4637913876180897,-0.14753534564149448,0.4594101587850137,-0.2161629237496526
familiarity,0.3371230368398857,0.6448994488760649,0.2686059921859536,1.0,0.2926128919040907,-0.1489169015071918,0.5299253265606894,-0.07264689222893474,0.05356272656083546,-0.04321854732095161,0.3794236184693579,0.044958525601974365,0.31664130485705594
valence,0.06064422517491023,0.578662955059954,0.3969440515137079,0.2926128919040907,1.0,-0.32480860660468097,0.23171158474475437,0.24009094696542913,0.4492522594766444,0.02420018635941913,0.010486413601743978,0.7043414219513215,-0.09349017307003221
excitement,-0.059511256337622394,-0.29278398165759917,-0.25390421235127436,-0.1489169015071918,-0.32480860660468097,1.0,0.06523290206164627,-0.2136524226363048,0.017154834497914058,0.34611570958390014,0.10065688727517628,-0.5082592059001487,0.0461298680644281
liking,-0.21441073345651188,0.32524064884389897,0.20582146198919188,0.5299253265606894,0.23171158474475437,0.06523290206164627,1.0,-0.459944942234854,-0.046026429519231755,0.08222454948405383,0.12802196018290224,-0.13225485441718196,-0.3130943650439726
ornamentation,0.6746400305541319,0.05390198085977009,-0.020980630299763183,-0.07264689222893474,0.24009094696542913,-0.2136524226363048,-0.459944942234854,1.0,0.004384544331800422,0.15047792035655014,-0.003203752444583635,0.4202033496641681,0.08416259628525007
grooviness,-0.0030423086651195992,0.3094352671469013,0.5086880571719442,0.05356272656083546,0.4492522594766444,0.017154834497914058,-0.046026429519231755,0.004384544331800422,1.0,0.3403208321474242,-0.19312651935641648,0.25912558949993064,-0.21112690000959974
tempo,0.3741689248607541,0.045295352123500346,0.4637913876180897,-0.04321854732095161,0.02420018635941913,0.34611570958390014,0.08222454948405383,0.15047792035655014,0.3403208321474242,1.0,-0.09279535616293678,0.006528283629846621,-0.3008366750056039
pitch,-0.03710056309155702,0.23948965330234848,-0.14753534564149448,0.3794236184693579,0.010486413601743978,0.10065688727517628,0.12802196018290224,-0.003203752444583635,-0.19312651935641648,-0.09279535616293678,1.0,0.16685276859221712,0.5029804879809792
timbre,0.17244544415953436,0.44832576901547827,0.4594101587850137,0.044958525601974365,0.7043414219513215,-0.5082592059001487,-0.13225485441718196,0.4202033496641681,0.25912558949993064,0.006528283629846621,0.16685276859221712,1.0,0.03125755342048815
sound_quality,0.25254972424460553,-0.0034190243607767614,-0.2161629237496526,0.31664130485705594,-0.09349017307003221,0.0461298680644281,-0.3130943650439726,0.08416259628525007,-0.21112690000959974,-0.3008366750056039,0.5029804879809792,0.03125755342048815,1.0
